imagen,ambe,psnr,contraste_original,contraste_agcwd,entropia_original,entropia_agcwd
101085.jpg,45.49752916108058,13.620890405923006,62.067487968597234,77.10748256847798,7.6639185,7.259991
103070.jpg,52.49795661945194,12.476562074587145,36.27856194599332,62.5037779023227,7.062033,6.871632
108082.jpg,45.01509705248023,13.122196954358662,48.158050340008245,72.0093447013783,6.5956554,6.3622313
109053.jpg,50.377478125141664,12.898747988118117,35.29164173608319,58.928671501012026,6.9933705,6.792833
119082.jpg,38.21668901108154,15.259538999885105,72.85105544580017,88.5946376196193,7.6497974,7.2757626
12084.jpg,53.48712767404356,12.370661597564753,33.83498612298612,61.34157630416861,7.00202,6.8450174
126007.jpg,53.12209765480792,12.254957773776447,41.526762210350164,63.81441593735841,6.8997145,6.6913
130026.jpg,42.00367225600871,14.175827180295428,58.23911307862446,75.21457672612472,7.4401655,7.0986776
14037.jpg,48.0701096495489,12.674466652035257,51.4689680232655,84.18483391360652,6.784519,6.612397
147091.jpg,40.659607126896844,14.720335936535767,65.06417785871872,83.92743702459754,7.6169815,7.2861223
148089.jpg,42.81575896529168,14.265474481865803,62.19468633740438,80.89751908567114,7.681221,7.3304586
156065.jpg,49.098930706407344,12.975359968768137,51.815669466305756,78.48006442138556,7.52728,7.3042955
157055.jpg,30.231598240944038,17.731294398522664,58.94450271152954,67.29942486712868,7.617278,7.1408405
16077.jpg,39.7330781536389,14.84921536740151,58.70723383709189,71.36826705271518,7.53335,7.126957
163085.jpg,58.512762223042586,11.55699566956901,31.81917455653363,63.86574880286414,6.998551,6.8944674
167062.jpg,16.64746989980634,19.340809251227537,114.10667735798425,106.21153598099531,4.8783517,4.5259957
167083.jpg,43.32224532224531,14.13000911533275,65.39957154047922,80.61943660763629,7.823862,7.3261747
170057.jpg,50.86630267938679,13.08445232869235,35.86946760455095,59.44851796048058,7.1750846,7.022747
175032.jpg,53.694036955719184,12.437131951295006,41.423458407190935,68.92319809094677,7.351165,7.2044897
189080.jpg,29.71311066638171,17.49498516054499,72.97851490391994,75.74690078098703,7.4415245,6.856245
219090.jpg,46.034144856574756,13.889271866277074,51.175014044578866,70.23922912552291,7.3659105,7.15602
220075.jpg,46.357504161242474,13.383120528315722,54.8978591108438,74.47591661100446,7.556947,7.2355566
229036.jpg,38.50259389511726,15.28430099434847,58.86634709435039,67.34988882406387,7.641125,7.175968
24077.jpg,31.51098762313717,16.328304368613693,79.0192379263024,81.05732734064505,7.6956964,7.094466
241004.jpg,32.11262232757559,16.098372349528887,73.52811821646388,75.53942571853618,7.007778,6.666788
253027.jpg,47.28010828945408,13.447840747046591,41.04906743026283,57.53931477050045,7.0949583,6.845727
260058.jpg,36.25865117453904,16.312612965276394,31.908102689990827,45.24844196197588,6.9790277,6.7663183
271035.jpg,36.93799262958143,15.8889689330125,51.562749502645005,62.90024972770101,7.5344973,7.1585107
285079.jpg,44.927649432322326,13.56415336863277,50.5570398903399,66.38049098407336,7.0221047,6.7183723
291000.jpg,35.322323041949204,16.34560436612538,48.513437364339666,58.516408940852266,7.573899,7.167434
295087.jpg,55.07652152511966,12.018648599649858,37.288639617176166,68.29385691823809,7.1503944,7.018052
296007.jpg,54.175529951230885,12.564624912382506,28.424809434439197,53.921178668909015,6.2780256,6.240794
300091.jpg,52.70344103988964,12.387825903479373,42.4215364697564,63.8102876197943,7.033965,6.7587147
304034.jpg,49.4752365593487,13.089405479926024,49.69045409286475,71.32633413164734,7.5559025,7.26252
38092.jpg,31.196818673454203,17.358840778673734,64.2796145066361,71.06964785515423,7.7691817,7.2060776
41033.jpg,43.7099112052383,14.282036817498385,58.824289601389374,75.91768279440971,7.3982034,7.1037416
42049.jpg,34.326630008873025,16.905520803278662,53.06001800422611,64.74378482828955,6.409918,6.300073
43074.jpg,61.32173366752805,10.876513226656101,29.2554615915738,67.96524967671526,6.8256297,6.760491
45096.jpg,44.61098049883097,12.633267045695625,39.429589441201685,69.10242625323669,5.693193,5.5340805
54082.jpg,55.73601854910265,12.176403102624798,31.315375633447974,58.98232085477884,6.937442,6.8394284
58060.jpg,44.05336105336106,13.027534897286477,55.18098503765995,83.52516477303536,6.7571754,6.483325
62096.jpg,19.629134526330773,20.112946154953413,89.73572255416924,86.16317394209337,6.7549443,6.0030365
69015.jpg,55.52957558565035,11.475614800069522,41.10489577152072,78.72418574868142,7.029018,6.914346
69040.jpg,59.89603046612392,11.343564936294834,30.649010609733043,63.536197045625435,6.9545517,6.8501945
76053.jpg,48.430994617910514,13.372491864529659,39.56108382401175,61.54819663588077,7.243542,7.0316973
78004.jpg,35.456778129675314,15.79496049742266,71.82092836575609,80.55811655760685,7.8178296,7.242652
8023.jpg,49.54993167142699,13.225954743947629,31.298264563729273,53.94091607923085,6.9328604,6.770953
86000.jpg,48.842637029552904,13.207309735605762,42.99501555201755,63.08781604687142,7.1964192,6.9343605
86016.jpg,35.312128807455906,16.549238123494895,43.95663212895245,55.65929276762424,7.3924217,7.074404
89072.jpg,42.42668765098672,14.5463998459113,52.73615077864843,71.6112546951302,7.4256606,7.154764
